Karpathos;Karpathos;Greece;AOK;LGKP;35.421408;27.146008;2;E
Ferihegy;Budapest;Hungary;BUD;LHBP;47.436933;19.255592;1;E
Bari;Bari;Italy;BRI;LIBD;41.138856;16.760594;1;E
Casale;Brindisi;Italy;BDS;LIBR;40.657633;17.947033;1;E
Alghero;Alghero;Italy;AHO;LIEA;40.632133;8.290772;1;E
Bergamo Orio Al Serio;Bergamo;Italy;BGY;LIME;45.673889;9.704166;1;E
Albenga;Albenga;Italy;ALL;LIMG;44.050608;8.127428;1;E
Aosta Airport;Aosta;Italy;AOT;LIMW;45.738456;7.368719;1;E
Aviano Ab;Aviano;Italy;AVB;LIPA;46.031889;12.596472;1;E
Bologna;Bologna;Italy;BLQ;LIPE;44.535444;11.288667;1;E
Falconara;Ancona;Italy;AOI;LIPY;43.616389;13.362222;1;E
Turany;Brno;Czech Republic;BRQ;LKTB;49.151269;16.694433;1;E
Teyman;Beer-sheba;Israel;BEV;LLBS;31.287003;34.722953;2;U
Braganca;Braganca;Portugal;BGC;LPBG;41.8578;-6.707125;0;E
Banja Luka International Airport;Banja Luka;Bosnia and Herzegovina;BNX;LQBK;44.941444;17.297501;1;E
Arad;Arad;Romania;ARW;LRAR;46.17655;21.262022;2;E
Bacau;Bacau;Romania;BCM;LRBC;46.521946;26.910278;2;E
Tautii Magheraus;Baia Mare;Romania;BAY;LRBM;47.658389;23.470022;2;E
Aurel Vlaicu;Bucharest;Romania;BBU;LRBS;44.503194;26.102111;2;E
Bern Belp;Bern;Switzerland;BRN;LSZB;46.9141;7.497153;1;E
St Gallen Altenrhein;Altenrhein;Switzerland;ACH;LSZR;47.485033;9.560775;1;E
Etimesgut;Ankara;Turkey;ANK;LTAD;39.949831;32.688622;2;E
Adana;Adana;Turkey;ADA;LTAF;36.982166;35.280388;2;E
Afyon;Afyon;Turkey;AFY;LTAH;38.726425;30.601114;2;E
Antalya;Antalya;Turkey;AYT;LTAI;36.898731;30.800461;2;E
Erkilet;Kayseri;Turkey;ASR;LTAU;38.770386;35.495428;2;E
Bandirma;Bandirma;Turkey;BDM;LTBG;40.317972;27.977694;2;E
Adnan Menderes;Izmir;Turkey;ADB;LTBJ;38.292392;27.156953;2;E
Anadolu Airport;Eskissehir;Turkey;AOE;LTBY;39.809858;30.519378;2;E
Batman;Batman;Turkey;BAL;LTCJ;37.928969;41.116583;2;E
Agri Airport;Agri;Turkey;AJI;LTCO;39.6546;43.0271;2;E
Adiyaman Airport;Adiyaman;Turkey;ADF;LTCP;37.7314;38.4689;2;E
Bodrum - Milas;Bodrum;Turkey;BJV;LTFE;37.249;27.667;2;E
Beograd;Belgrade;Serbia;BEG;LYBE;44.818444;20.309139;1;E
M R Stefanik;Bratislava;Slovakia;BTS;LZIB;48.170167;17.212667;1;E
